champ;espaces;types;sessions;parent;unite;type_valeur;portee;nom_officiel;chemin_corpus;libelle;definition;ne_dit_pas;montre_au_modele;libelle_page
taux_acces;psup,mm;;psup=2023,2024,2025|mm=2025;;%;nombre;formation;psup=taux_acces_ens|mm=page:taux_acces;psup=admission.historique.{s}.taux_acces;Taux d'accès;Libellé officiel : rapport entre le nombre de candidats dont le rang de classement est inférieur ou égal au rang du dernier appelé de son groupe et le nombre de candidats ayant validé un vœu pour la formation. En clair : la part des candidats qui ont reçu une proposition.;"Pas la chance d'un candidat en particulier ; pas places divisées par vœux.";1;mm=Taux d’accès à la formation N %
places;psup,psup_app;;psup=2023,2024,2025|psup_app=2025;;places;nombre;formation;psup=capa_fin|psup_app=capa_fin;psup=admission.historique.{s}.places|psup_app=apprentissage.capacite;Places;Libellé officiel : capacité de l'établissement par formation. Parcoursup 2025 : valeur de la page publique quand elle l'affiche (concordance du 25/09), sinon l'open data.;Le nombre d'admis réels, qui peut être plus haut ou plus bas.;1;psup=N places offertes par la formation en 2025
voeux_toutes_phases_bilan_final;psup,psup_app;;psup=2023,2024,2025|psup_app=2025;;candidats;nombre;formation;psup=voe_tot|psup_app=voe_tot;psup=admission.historique.{s}.voeux_totaux|psup_app=apprentissage.candidats;Candidats (vœux);Libellé officiel : effectif total des candidats pour une formation. Doublon d'un chiffre de la page publique (concordance du 25/09) : gardé pour les contrôles et les filtres, jamais montré au modèle.;L'intérêt réel : un candidat fait jusqu'à 10 vœux.;psup=0|psup_app=1;
voeux_phase_principale;psup;;psup=2023,2024,2025;;candidats;nombre;formation;psup=nb_voe_pp;psup=admission.historique.{s}.voeux_phase_principale;Candidats en phase principale;Libellé officiel : effectif total des candidats en phase principale.;Les candidats de la phase complémentaire.;psup=2023,2024;
classes_phase_principale;psup;;psup=2025;;candidats;nombre;formation;psup=nb_cla_pp;psup=admission.volumes.classes_phase_principale;Candidats classés en phase principale;Candidats que la formation a classés (jugés recevables) en phase principale.;Le nombre de propositions faites.;psup=0;
admis_bilan_final;psup;;psup=2025;;admis;nombre;formation;psup=acc_tot;psup=admission.volumes.admis_total;Admis;Libellé officiel : effectif total des candidats ayant accepté la proposition de l'établissement (admis). Doublon d'un chiffre de la page publique (concordance du 25/09) : gardé pour les contrôles et les filtres, jamais montré au modèle.;;psup=0;
propositions_envoyees_bilan_final;psup,psup_app;;psup=2025|psup_app=2025;;propositions;nombre;formation;psup=prop_tot|psup_app=prop_tot;psup=propositions_totales|psup_app=apprentissage.propositions;Propositions d'admission;Nombre total de propositions d'admission faites par la formation. Doublon d'un chiffre de la page publique (concordance du 25/09) : gardé pour les contrôles et les filtres, jamais montré au modèle.;Le nombre d'admis : une proposition peut être refusée.;psup=0|psup_app=1;
part_admis_debut_pp;psup;;psup=2025;;%;nombre;formation;psup=pct_acc_debutpp;psup=pct_acceptes_debut_pp;Part des admis dès l'ouverture de la phase principale;Part des admis qui ont accepté la proposition dès le début de la phase principale.;;1;
part_bac_general_neobacheliers_bilan_final;psup;;psup=2023,2024,2025;;%;nombre;formation;psup=pct_bg;psup=admission.historique.{s}.pct_bg;Part de bac général;Libellé officiel : % d'admis néo bacheliers générals. Part parmi les admis néo-bacheliers (qui viennent d'avoir leur bac). Doublon d'un chiffre de la page publique (concordance du 25/09) : gardé pour les contrôles et les filtres, jamais montré au modèle.;La part parmi tous les admis.;psup=0;
part_bac_techno_neobacheliers_bilan_final;psup;;psup=2023,2024,2025;;%;nombre;formation;psup=pct_bt;psup=admission.historique.{s}.pct_bt;Part de bac technologique;Libellé officiel : % d'admis néo bacheliers technologiques. Part parmi les admis néo-bacheliers (qui viennent d'avoir leur bac). Doublon d'un chiffre de la page publique (concordance du 25/09) : gardé pour les contrôles et les filtres, jamais montré au modèle.;La part parmi tous les admis.;psup=0;
part_bac_pro_neobacheliers_bilan_final;psup;;psup=2023,2024,2025;;%;nombre;formation;psup=pct_bp;psup=admission.historique.{s}.pct_bp;Part de bac professionnel;Libellé officiel : % d'admis néo bacheliers professionnels. Part parmi les admis néo-bacheliers (qui viennent d'avoir leur bac). Doublon d'un chiffre de la page publique (concordance du 25/09) : gardé pour les contrôles et les filtres, jamais montré au modèle.;La part parmi tous les admis.;psup=0;
part_mention_tb;psup;;psup=2023,2024,2025;;%;nombre;formation;psup=pct_tb;psup=admission.historique.{s}.pct_tb;Part mention très bien;Part des admis ayant eu leur bac mention très bien, parmi les admis néo-bacheliers (qui viennent d'avoir leur bac).;Le niveau réel en maths.;1;
part_mention_b;psup;;psup=2023,2024,2025;;%;nombre;formation;psup=pct_b;psup=admission.historique.{s}.pct_b;Part mention bien;Part des admis ayant eu leur bac mention bien, parmi les admis néo-bacheliers (qui viennent d'avoir leur bac).;Le niveau réel en maths.;1;
part_mention_ab;psup;;psup=2025;;%;nombre;formation;psup=pct_ab;psup=profil_admis.mentions_pct.ab;Part mention assez bien;Part des admis ayant eu leur bac mention assez bien, parmi les admis néo-bacheliers (qui viennent d'avoir leur bac).;Le niveau réel en maths.;1;
part_mention_sans_mention;psup;;psup=2025;;%;nombre;formation;psup=pct_sansmention;psup=profil_admis.mentions_pct.sans;Part sans mention;Part des admis ayant eu leur bac sans mention, parmi les admis néo-bacheliers (qui viennent d'avoir leur bac).;Le niveau réel en maths.;1;
part_mention_tbf;psup;;psup=2025;;%;nombre;formation;psup=pct_tbf;psup=profil_admis.mentions_pct.tbf;Part mention très bien avec félicitations;Part des admis ayant eu leur bac mention très bien avec félicitations, parmi les admis néo-bacheliers (qui viennent d'avoir leur bac).;Le niveau réel en maths.;1;
part_boursiers;psup;;psup=2023,2024,2025;;%;nombre;formation;psup=pct_bours;psup=admission.historique.{s}.pct_bours;Part de boursiers;Part de boursiers du secondaire parmi les admis néo-bacheliers (qui viennent d'avoir leur bac).;;1;
part_femmes;psup;;psup=2023,2024,2025;;%;nombre;formation;psup=pct_f;psup=admission.historique.{s}.pct_f;Part de filles;Part des femmes parmi les admis.;;1;
part_neobacheliers;psup;;psup=2025;;%;nombre;formation;psup=pct_neobac;psup=profil_admis.neobacheliers_pct;Part de néo-bacheliers;Libellé officiel : % d'admis néo bacheliers.;;1;
part_meme_academie;psup;;psup=2025;;%;nombre;formation;psup=pct_aca_orig_idf;psup=profil_admis.origine_academique_idf_pct;Part d'admis de la même académie;Part des admis néo-bacheliers issus de la même académie (Paris, Créteil et Versailles réunies).;Que la formation refuse les autres académies.;1;
