[judge opus] 134 evaluations
  claude_norag L04.0 -> 4/4/5/5 aucune
  claude_norag L02.0 -> 4/4/4/5 aucune
  claude_norag L01.0 -> 4/4/5/4 aucune
  claude_norag L03.0 -> 1/3/4/2 generation
  claude_norag L07.0 -> 3/4/4/4 aucune
  claude_norag L06.0 -> 4/4/4/4 aucune
  claude_norag L05.0 -> 4/4/4/5 aucune
  claude_norag L08.0 -> 4/5/5/5 aucune
  claude_norag L11.0 -> 4/4/4/4 aucune
  claude_norag L09.0 -> 3/4/4/4 aucune
  claude_norag L10.0 -> 3/4/4/4 aucune
  claude_norag L15.0 -> 4/5/5/4 aucune
  claude_norag L12.0 -> 4/4/3/4 aucune
  claude_norag L14.0 -> 4/4/4/4 aucune
  claude_norag L14.1 -> 4/5/5/4 aucune
  claude_norag L16.0 -> 4/4/5/4 aucune
  claude_norag L13.1 -> 4/5/5/5 aucune
  claude_norag L13.0 -> 4/4/4/4 aucune
  claude_norag L19.0 -> 4/5/5/4 aucune
  claude_norag L18.0 -> 3/4/5/4 generation
  claude_norag L17.0 -> 4/4/5/5 aucune
  claude_norag L20.0 -> 4/4/4/5 aucune
  claude_norag L21.0 -> 2/4/4/3 retrieval
  claude_norag L24.0 -> 3/4/4/4 aucune
  claude_norag L23.0 -> 4/5/5/4 aucune
  claude_norag L22.0 -> 4/4/5/5 aucune
  claude_norag L28.0 -> 4/4/5/4 aucune
  claude_norag L27.0 -> 4/5/4/5 aucune
  claude_norag L26.0 -> 4/4/4/4 aucune
  claude_norag L29.0 -> 4/3/3/4 aucune
  claude_norag L30.0 -> 4/5/5/4 aucune
  claude_norag E01.0 -> 2/4/4/4 generation
  claude_norag L25.0 -> 4/4/5/4 aucune
  claude_norag E03.0 -> 4/4/3/4 aucune
  claude_norag L25.1 -> None/None/None/None 
  claude_norag E02.0 -> 4/4/5/4 aucune
  claude_norag L25.2 -> 4/5/5/5 aucune
  claude_norag E07.0 -> 3/4/4/3 data_absente
