[judge opus] 67 evaluations
  agent_mistral L04.0 -> 3/3/4/3 data_absente
  agent_mistral L02.0 -> 2/3/2/3 generation
  agent_mistral L03.0 -> 2/3/3/3 generation
  agent_mistral L05.0 -> 2/2/4/3 generation
  agent_mistral L01.0 -> 4/4/4/4 aucune
  agent_mistral L11.0 -> 1/2/2/1 generation
  agent_mistral L08.0 -> 4/4/4/4 aucune
  agent_mistral L06.0 -> 4/4/4/4 aucune
  agent_mistral L07.0 -> 3/4/4/4 aucune
  agent_mistral L15.0 -> 2/5/5/3 generation
  agent_mistral L09.0 -> 4/4/4/4 aucune
  agent_mistral L10.0 -> 4/4/4/4 aucune
  agent_mistral L13.0 -> 3/4/3/4 generation
  agent_mistral L12.0 -> 2/3/4/3 generation
  agent_mistral L13.1 -> 4/4/3/4 aucune
  agent_mistral L14.0 -> 4/3/4/4 aucune
  agent_mistral L16.0 -> 1/1/1/1 generation
  agent_mistral L14.1 -> 3/4/4/4 aucune
  agent_mistral L17.0 -> 3/4/4/3 generation
  agent_mistral L18.0 -> 2/2/3/2 generation
  agent_mistral L20.0 -> 3/4/4/4 aucune
  agent_mistral L19.0 -> 4/3/4/4 aucune
  agent_mistral L22.0 -> 3/3/4/3 generation
  agent_mistral L24.0 -> 3/4/4/4 aucune
  agent_mistral L21.0 -> 2/3/3/4 data_absente
  agent_mistral L23.0 -> 3/3/4/3 retrieval
  agent_mistral L26.0 -> 4/4/5/5 aucune
  agent_mistral L28.0 -> 4/4/4/4 aucune
  agent_mistral L27.0 -> 3/4/3/4 aucune
  agent_mistral L25.0 -> 1/3/4/2 generation
  agent_mistral L29.0 -> 3/4/3/4 generation
  agent_mistral L30.0 -> 3/4/4/4 aucune
  agent_mistral L25.1 -> 3/4/4/4 aucune
  agent_mistral L25.2 -> 2/4/4/4 retrieval
  agent_mistral E01.0 -> 2/3/4/3 generation
  agent_mistral E03.0 -> 3/3/3/3 aucune
  agent_mistral E02.0 -> 3/4/4/4 generation
  agent_mistral E04.0 -> 2/2/4/3 generation
  agent_mistral E07.0 -> 2/3/3/2 retrieval
  agent_mistral E06.0 -> 2/2/2/2 generation
  agent_mistral E08.0 -> 3/4/4/4 aucune
  agent_mistral E05.0 -> 2/3/4/3 generation
  agent_mistral E09.0 -> 2/3/4/2 generation
  agent_mistral E10.0 -> 2/2/3/3 generation
  agent_mistral E14.0 -> 3/4/4/4 aucune
  agent_mistral E12.0 -> 3/4/4/4 aucune
  agent_mistral E11.1 -> 1/1/1/1 generation
  agent_mistral E11.0 -> 5/4/4/4 aucune
  agent_mistral E13.0 -> 4/4/4/4 aucune
  agent_mistral E16.0 -> 3/4/4/4 aucune
  agent_mistral E19.0 -> 3/4/4/4 aucune
  agent_mistral E17.0 -> 4/3/4/4 aucune
  agent_mistral E15.0 -> None/None/None/None 
  agent_mistral E18.0 -> 3/4/3/4 aucune
  agent_mistral E20.0 -> 2/2/3/2 generation
  agent_mistral E22.0 -> 3/4/4/4 aucune
  agent_mistral E21.0 -> 4/4/4/5 aucune
  agent_mistral E26.0 -> 2/3/4/3 generation
  agent_mistral E24.0 -> 2/3/4/3 generation
  agent_mistral E28.0 -> 2/4/4/3 generation
  agent_mistral E25.0 -> None/None/None/None 
  agent_mistral E27.0 -> 3/3/4/4 aucune
  agent_mistral E29.0 -> 1/2/4/1 generation
  agent_mistral E23.0 -> 2/3/3/3 generation
  agent_mistral E23.1 -> 3/4/3/4 aucune
  agent_mistral E23.2 -> 4/4/3/4 aucune
  agent_mistral E30.0 -> 2/4/4/4 generation
cout juge ~2.03 USD, 201s
