[judge opus] 67 evaluations
  agent_sonnet L01.0 -> 4/5/5/4 aucune
  agent_sonnet L02.0 -> 4/4/5/5 aucune
  agent_sonnet L04.0 -> 4/4/5/4 aucune
  agent_sonnet L03.0 -> 3/4/2/4 aucune
  agent_sonnet L07.0 -> 5/5/5/5 aucune
  agent_sonnet L06.0 -> 5/5/3/5 aucune
  agent_sonnet L08.0 -> 4/5/5/5 aucune
  agent_sonnet L05.0 -> 2/3/3/4 generation
  agent_sonnet L11.0 -> 4/4/5/5 aucune
  agent_sonnet L09.0 -> 4/4/3/5 aucune
  agent_sonnet L12.0 -> 3/4/4/4 aucune
  agent_sonnet L15.0 -> 3/5/4/4 aucune
  agent_sonnet L10.0 -> 3/4/3/4 aucune
  agent_sonnet L14.0 -> 3/5/5/3 generation
  agent_sonnet L13.0 -> 5/5/5/5 aucune
  agent_sonnet L14.1 -> 4/5/4/4 aucune
  agent_sonnet L13.1 -> 4/4/3/4 aucune
  agent_sonnet L16.0 -> 4/4/4/5 aucune
  agent_sonnet L19.0 -> 4/4/4/5 aucune
  agent_sonnet L17.0 -> 3/4/5/3 generation
  agent_sonnet L20.0 -> 5/4/4/5 aucune
  agent_sonnet L21.0 -> 3/4/3/4 retrieval
  agent_sonnet L18.0 -> 2/3/3/2 generation
  agent_sonnet L22.0 -> 4/4/5/4 aucune
  agent_sonnet L24.0 -> 3/5/5/4 aucune
  agent_sonnet L23.0 -> 4/4/4/4 aucune
  agent_sonnet L27.0 -> 3/4/3/4 generation
  agent_sonnet L25.0 -> 3/5/5/3 aucune
  agent_sonnet L28.0 -> 4/4/5/4 aucune
  agent_sonnet L26.0 -> 4/5/4/5 aucune
  agent_sonnet L29.0 -> 4/4/4/4 aucune
  agent_sonnet L30.0 -> 4/5/5/4 aucune
  agent_sonnet L25.1 -> 4/5/5/4 aucune
  agent_sonnet L25.2 -> 3/4/3/4 aucune
  agent_sonnet E01.0 -> 3/4/4/4 aucune
  agent_sonnet E03.0 -> 4/4/4/5 aucune
  agent_sonnet E02.0 -> 4/4/4/4 aucune
  agent_sonnet E04.0 -> 3/4/4/4 generation
  agent_sonnet E06.0 -> 2/4/4/3 generation
  agent_sonnet E07.0 -> 4/4/5/4 aucune
  agent_sonnet E05.0 -> 2/4/3/4 generation
  agent_sonnet E08.0 -> 3/4/3/4 aucune
  agent_sonnet E10.0 -> 4/5/4/4 aucune
  agent_sonnet E09.0 -> 2/3/4/2 generation
  agent_sonnet E11.0 -> 4/5/4/4 aucune
  agent_sonnet E11.1 -> 4/5/5/4 aucune
  agent_sonnet E13.0 -> 4/4/4/5 aucune
  agent_sonnet E14.0 -> 3/4/4/4 aucune
  agent_sonnet E12.0 -> 4/4/4/5 aucune
  agent_sonnet E16.0 -> 3/4/4/5 aucune
  agent_sonnet E15.0 -> 4/4/5/5 aucune
  agent_sonnet E19.0 -> 4/4/5/4 aucune
  agent_sonnet E17.0 -> 4/4/5/4 aucune
  agent_sonnet E18.0 -> 2/4/4/3 generation
  agent_sonnet E22.0 -> 4/4/3/5 aucune
  agent_sonnet E20.0 -> 4/4/4/5 aucune
  agent_sonnet E21.0 -> 4/4/4/4 aucune
  agent_sonnet E24.0 -> 3/3/4/3 generation
  agent_sonnet E23.0 -> 3/5/5/3 aucune
  agent_sonnet E25.0 -> None/None/None/None 
  agent_sonnet E26.0 -> 4/4/3/4 aucune
  agent_sonnet E23.1 -> 4/4/4/4 aucune
  agent_sonnet E28.0 -> 3/5/5/4 generation
  agent_sonnet E27.0 -> 3/4/4/4 aucune
  agent_sonnet E23.2 -> 3/4/4/4 aucune
  agent_sonnet E29.0 -> 4/5/5/5 aucune
  agent_sonnet E30.0 -> 4/4/4/4 aucune
cout juge ~1.77 USD, 175s
