[judge opus] 134 evaluations
  local L01.0 -> 3/3/3/2 retrieval
  local L03.0 -> 2/2/2/1 generation
  local L04.0 -> 2/2/2/2 retrieval
  local L02.0 -> 3/2/2/3 aucune
  local L06.0 -> 1/1/2/1 retrieval
  local L08.0 -> 3/2/2/2 generation
  local L09.0 -> 4/3/2/3 generation
  local L07.0 -> 3/3/2/2 generation
  local L05.0 -> 3/2/2/3 generation
  local L10.0 -> 3/3/2/2 generation
  local L12.0 -> 2/2/2/1 generation
  local L15.0 -> 2/2/3/2 generation
  local L11.0 -> 2/1/2/2 generation
  local L13.0 -> 1/2/3/1 generation
  local L14.1 -> 4/4/2/3 generation
  local L14.0 -> 2/2/2/2 retrieval
  local L13.1 -> 1/2/2/2 retrieval
  local L16.0 -> 2/2/2/1 generation
  local L19.0 -> 2/2/2/2 generation
  local L17.0 -> 3/4/2/3 generation
  local L18.0 -> 3/3/2/3 generation
  local L20.0 -> 3/3/2/2 generation
  local L24.0 -> 1/1/2/1 generation
  local L21.0 -> 1/1/2/1 generation
  local L22.0 -> 1/2/2/2 retrieval
  local L26.0 -> 2/1/2/2 generation
  local L23.0 -> 2/2/2/2 generation
  local L27.0 -> 2/2/3/2 generation
  local L28.0 -> 2/2/2/2 generation
  local L30.0 -> 2/2/2/2 generation
  local L29.0 -> 2/2/2/2 generation
  local L25.0 -> 3/3/2/3 generation
  local L25.2 -> 1/1/2/1 retrieval
  local E02.0 -> 2/2/2/2 generation
  local E01.0 -> 2/2/2/2 generation
  local L25.1 -> 2/2/3/2 generation
  local E03.0 -> 2/2/2/2 generation
  local E05.0 -> 1/2/2/2 generation
  local E04.0 -> 1/1/2/1 generation
  local E06.0 -> 2/2/2/2 generation
  local E08.0 -> 1/2/2/1 generation
  local E07.0 -> 3/3/2/3 aucune
  local E09.0 -> 3/2/2/2 generation
  local E12.0 -> 1/1/2/1 generation
  local E11.0 -> 4/4/3/4 aucune
  local E13.0 -> 1/2/2/1 generation
  local E11.1 -> 1/2/3/1 retrieval
  local E10.0 -> 2/2/2/2 generation
  local E14.0 -> 1/2/2/1 generation
  local E16.0 -> 1/1/2/1 generation
  local E15.0 -> 2/2/2/2 generation
  local E18.0 -> 2/2/2/2 generation
  local E17.0 -> 3/3/2/3 generation
  local E19.0 -> 2/2/2/2 generation
  local E21.0 -> 1/1/2/1 generation
  local E22.0 -> 2/2/2/1 generation
  local E20.0 -> 3/2/2/3 generation
  local E27.0 -> 1/2/2/1 generation
  local E24.0 -> 3/2/2/2 generation
  local E25.0 -> 2/2/3/2 generation
  local E23.0 -> 1/1/2/1 generation
  local E23.1 -> 3/3/2/3 generation
  local E26.0 -> 3/3/2/3 generation
  local E28.0 -> 2/2/3/2 generation
  local E23.2 -> 2/2/2/2 generation
  local E29.0 -> 1/1/2/1 generation
  local E30.0 -> 1/2/3/1 generation
  claude_ctx L04.0 -> 4/4/3/4 aucune
  claude_ctx L02.0 -> 4/4/2/5 aucune
  claude_ctx L01.0 -> 2/3/2/3 retrieval
  claude_ctx L03.0 -> 2/3/2/3 retrieval
  claude_ctx L05.0 -> 4/5/4/4 aucune
  claude_ctx L09.0 -> 4/5/4/5 aucune
  claude_ctx L07.0 -> 3/4/4/3 retrieval
  claude_ctx L08.0 -> 5/5/3/5 aucune
  claude_ctx L06.0 -> 3/4/4/4 generation
  claude_ctx L10.0 -> 5/5/4/5 aucune
  claude_ctx L11.0 -> 3/4/4/4 aucune
  claude_ctx L15.0 -> 3/4/4/4 aucune
  claude_ctx L12.0 -> 3/4/4/4 aucune
  claude_ctx L13.0 -> 5/4/3/5 aucune
  claude_ctx L16.0 -> 4/4/2/4 aucune
  claude_ctx L17.0 -> 3/4/3/4 generation
  claude_ctx L13.1 -> 2/3/3/4 retrieval
  claude_ctx L14.0 -> 4/4/4/4 aucune
  claude_ctx L14.1 -> 4/5/3/5 aucune
  claude_ctx L21.0 -> 2/3/2/3 data_absente
  claude_ctx L18.0 -> 3/4/4/4 generation
  claude_ctx L20.0 -> 4/4/3/5 aucune
  claude_ctx L22.0 -> 4/4/4/5 aucune
  claude_ctx L19.0 -> 3/2/2/4 generation
  claude_ctx L24.0 -> 3/5/5/4 aucune
  claude_ctx L23.0 -> 3/4/4/3 retrieval
  claude_ctx L26.0 -> 3/2/2/4 aucune
  claude_ctx L28.0 -> 4/4/5/4 aucune
  claude_ctx L27.0 -> 3/4/4/4 generation
  claude_ctx L30.0 -> 3/3/4/4 aucune
  claude_ctx E01.0 -> 3/4/3/4 generation
  claude_ctx L29.0 -> 3/4/4/4 generation
  claude_ctx E02.0 -> 4/4/5/4 aucune
  claude_ctx L25.0 -> 4/4/3/4 aucune
  claude_ctx L25.2 -> 4/5/5/5 aucune
  claude_ctx L25.1 -> 4/4/4/4 aucune
  claude_ctx E04.0 -> 2/2/2/3 generation
  claude_ctx E07.0 -> 3/4/4/4 aucune
  claude_ctx E03.0 -> 3/3/3/4 aucune
  claude_ctx E08.0 -> 4/4/3/5 aucune
  claude_ctx E05.0 -> 2/4/3/4 generation
  claude_ctx E06.0 -> 3/5/4/3 generation
  claude_ctx E10.0 -> 2/3/3/3 generation
  claude_ctx E09.0 -> 2/2/2/2 generation
  claude_ctx E14.0 -> 2/3/2/3 generation
  claude_ctx E13.0 -> 3/3/3/4 aucune
  claude_ctx E11.0 -> 4/4/3/4 aucune
  claude_ctx E12.0 -> None/None/None/None 
  claude_ctx E11.1 -> 4/5/4/4 aucune
  claude_ctx E15.0 -> 4/4/4/4 aucune
  claude_ctx E16.0 -> 4/5/4/5 aucune
  claude_ctx E17.0 -> 4/4/3/4 aucune
  claude_ctx E18.0 -> 4/5/3/4 aucune
  claude_ctx E19.0 -> 4/4/4/4 aucune
  claude_ctx E20.0 -> 5/4/5/5 aucune
  claude_ctx E22.0 -> 2/3/2/4 generation
  claude_ctx E21.0 -> 4/4/4/4 aucune
  claude_ctx E26.0 -> 3/4/3/4 aucune
  claude_ctx E28.0 -> 4/5/5/4 aucune
  claude_ctx E29.0 -> 3/4/3/4 aucune
  claude_ctx E24.0 -> 2/3/2/2 generation
  claude_ctx E27.0 -> 3/4/3/4 aucune
  claude_ctx E25.0 -> None/None/None/None 
  claude_ctx E23.0 -> 3/4/3/4 generation
  claude_ctx E23.2 -> 3/4/3/3 retrieval
  claude_ctx E23.1 -> 4/4/3/4 aucune
  claude_ctx E30.0 -> 4/4/3/4 aucune
cout juge ~3.44 USD, 342s
